;Semestre;CRN;Materia;Seccion;Creditos;Titulo;Cupo;Inscritos;Disponible;1Dias;1Horas;1Salon;Area util_s1;Bloque_s1;Capacidad_s1;Ext_s1;Fijo/Movil_s1;Movil Express_s1;Tipo Mobiliario_s1;1F. Inicial;1F. Final;2Dias;2Horas;2Salon;Area util_s2;Bloque_s2;Capacidad_s2;Ext_s2;Fijo/Movil_s2;Movil Express_s2;Tipo Mobiliario_s2;2F. Inicial;2F. Final;3Dias;3Horas;3Salon;Area util_s3;Bloque_s3;Capacidad_s3;Ext_s3;Fijo/Movil_s3;Movil Express_s3;Tipo Mobiliario_s3;3F. Inicial;3F. Final;1Instructor;2Instructor;3Instructor
2753;2018-01;13152;ICYA-3307C;1;0;COMPL DISEÑO DE VIAS;60;33;27;L;1530 - 1650;C_105;86,7;C;60.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TAFUR SANCHEZ FABIAN;;
2754;2018-01;30510;ICYA-3307C;3;0;COMPL DISEÑO DE VIAS;60;55;5;J;1830 - 1950;C_307;89,7;C;60.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUZMAN VALDERRAMA ANDRES FELIPE;;
2755;2018-01;14319;ICYA-3401;1;3;HIDROLOGIA;92;74;18;MJ;1100 - 1220;ML_617;146,7;ML;94.0;1625.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DIAZ-GRANADOS ORTIZ MARIO ALFR;;
2756;2018-01;20806;ICYA-3401;2;3;HIDROLOGIA;84;73;11;I;1400 - 1520;O_102;94;O;121.0;5251.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;L;1400 - 1520;G_101;120,6;G;84.0;5501.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;RODRIGUEZ SANCHEZ JUAN PABLO;;
2757;2018-01;12931;ICYA-3401C;1;0;COMPL HIDROLOGIA;32;31;1;I;1700 - 1750;Z_104;32,9;Z;32.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SALAZAR SANCHEZ ANDRES CAMILO;;
2758;2018-01;12932;ICYA-3401C;2;0;COMPL HIDROLOGIA;35;30;5;M;1400 - 1450;R_110;46,8;R;46.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SALAZAR SANCHEZ ANDRES CAMILO;;
2759;2018-01;12969;ICYA-3401C;3;0;COMPL HIDROLOGIA;35;33;2;L;1700 - 1750;W_505;82,6;W;42.0;5021.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SALAZAR SANCHEZ ANDRES CAMILO;;
2760;2018-01;16989;ICYA-3401C;4;0;COMPL HIDROLOGIA;32;29;3;V;1700 - 1750;W_204;82,4;W;42.0;5007.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SALAZAR SANCHEZ ANDRES CAMILO;;
2761;2018-01;20423;ICYA-3401C;5;0;COMPL HIDROLOGIA;32;24;8;V;1800 - 1850;LL_202;51,7;LL;32.0;5085.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SALAZAR SANCHEZ ANDRES CAMILO;;
2762;2018-01;24341;ICYA-3406;1;3;MODELACION AMBIENTAL;70;48;22;LI;0800 - 0920;ML_606;125,7;ML;81.0;1612.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CAMACHO BOTERO LUIS ALEJANDRO;;
2766;2018-01;24343;ICYA-3408;1;3;TRATAMIENTO AGUAS RESIDUALES;63;53;10;LI;1100 - 1220;M_100;72,1;M;63.0;nan;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;HUSSERL ORJUELA JOHANA;;
2767;2018-01;13153;ICYA-3408L;1;0;LAB TRATAMIENTO AGUAS RESIDU;15;13;2;V;1300 - 1450;C_207;42,6;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BORRERO GARCIA CAROLINA BEATRIZ;;
2768;2018-01;13073;ICYA-3408L;2;0;LAB TRATAMIENTO AGUAS RESIDU;16;10;6;V;1300 - 1450;C_106;42,3;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BORRERO GARCIA CAROLINA BEATRIZ;;
2769;2018-01;17147;ICYA-3408L;3;0;LAB TRATAMIENTO AGUAS RESIDU;16;16;0;V;1500 - 1650;C_207;42,6;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BORRERO GARCIA CAROLINA BEATRIZ;;
2770;2018-01;17148;ICYA-3408L;4;0;LAB TRATAMIENTO AGUAS RESIDU;16;14;2;V;1500 - 1650;C_106;42,3;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BORRERO GARCIA CAROLINA BEATRIZ;;
2771;2018-01;24345;ICYA-3501;1;3;CALIDAD DEL AIRE Y METEOROLOGI;80;74;6;MJ;0930 - 1050;ML_606;125,7;ML;81.0;1612.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MORALES BETANCOURT RICARDO;;
2772;2018-01;16548;ICYA-3501L;1;0;LAB CALIDAD DEL AIRE Y METEORO;22;22;0;V;0930 - 1050;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PINTO HERRERA LAURA CATALINA;;
2774;2018-01;16550;ICYA-3501L;3;0;LAB CALIDAD DEL AIRE Y METEORO;21;21;0;M;1100 - 1220;AU_205;59,8;Au;40.0;5612.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PINTO HERRERA LAURA CATALINA;;
2775;2018-01;30475;ICYA-3501L;4;0;LAB CALIDAD DEL AIRE Y METEORO;23;23;0;J;1100 - 1220;AU_308;45,8;Au;30.0;5626.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PINTO HERRERA LAURA CATALINA;;
2776;2018-01;31448;ICYA-3501L;5;0;LAB CALIDAD DEL AIRE Y METEORO;20;8;12;V;1100 - 1220;SD_206;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PINTO HERRERA LAURA CATALINA;;
2777;2018-01;24347;ICYA-3601;1;3;EVALUACION Y AUDITOR.AMBIENTAL;64;45;19;LI;0930 - 1050;SD_716;140,4;Sd;65.0;1105.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RAMOS BONILLA JUAN PABLO;;
2782;2018-01;24351;ICYA-3702;1;3;RESIDUOS SOLIDOS;60;35;25;MJ;1400 - 1520;O_205;72,7;O;62.0;5260.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SALDARRIAGA ELORZA JUAN FERNANDO;;
2793;2018-01;29546;ICYA-4106;1;4;BIODIVERSIDAD COLOMBIANA;40;16;24;LI;0800 - 0920;AU_201;59,8;Au;44.0;5608.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PEYRE GWENDOLYN;;
2794;2018-01;30649;ICYA-4108;1;4;NANOTEC. AMB: IMPLIC. Y APLIC.;40;24;16;LI;1400 - 1520;AU_402;46;Au;40.0;5632.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PLAZAS JAIME;;
2795;2018-01;29547;ICYA-4111;1;4;RESIDUOS PELIGROSOS;40;19;21;MJ;0800 - 0920;Z_101;45,2;Z;41.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SALDARRIAGA ELORZA JUAN FERNANDO;;
2796;2018-01;29552;ICYA-4126;1;4;ANÁLISIS RIESGO QUIM. MICROBIO;38;35;3;LI;1530 - 1650;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RAMOS BONILLA JUAN PABLO;HUSSERL ORJUELA JOHANA;
2797;2018-01;29556;ICYA-4138;1;4;HIDROLOGIA URBANA;40;8;32;LI;1100 - 1220;W_506;82,8;W;40.0;5022.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RODRIGUEZ SANCHEZ JUAN PABLO;;
2798;2018-01;29557;ICYA-4140;1;4;VARIABILIDAD YCAMBIO CLIMATICO;40;12;28;MJ;1400 - 1520;W_506;82,8;W;40.0;5022.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MORALES BETANCOURT RICARDO;;
2800;2018-01;26806;ICYA-4206;1;0;PROPUESTA DE TESIS GERENCIA;25;1;24;M;1700 - 1820;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PONZ JOSE LUIS;;
2803;2018-01;25839;ICYA-4212;1;0;PROPUESTA TESIS MICIV;30;32;-2;V;1700 - 1820;Z_212;52,5;Z;30.0;nan;Movil;No;Silla móvil, mesa móvil;2/2/2018;2/2/2018;;;;;;;;;;;;;;;;;;;;;;;;;VALENZUELA VIEDA MANUELA MARIA;;
2806;2018-01;25842;ICYA-4216;1;0;PROPUESTA DE TESIS MIAMB;20;8;12;V;1700 - 1820;Y_111B;43,6;Y;24.0;nan;Movil;No;Silla móvil, mesa móvil;2/2/2018;2/2/2018;;;;;;;;;;;;;;;;;;;;;;;;;VALENZUELA VIEDA MANUELA MARIA;;
2810;2018-01;24391;ICYA-4290;1;0;PROPUESTA PROY. GRADO GERENCIA;30;23;7;M;1700 - 1820;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PONZ JOSE LUIS;;
2811;2018-01;24392;ICYA-4291;1;0;PROPUESTA PROY. GRADO ESTRUCTU;15;12;3;L;0930 - 1020;C_207;42,6;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;OSORIO BUSTAMANTE EDISON;;
2813;2018-01;21853;ICYA-4293;1;4;PROYECTO GRADO ESTRUCTURAS;15;3;12;L;0630 - 0920;C_207;42,6;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;OSORIO BUSTAMANTE EDISON;;
2814;2018-01;24393;ICYA-4301;1;4;ADMON PROYECTO CONSTRUC;50;34;16;MJ;1230 - 1350;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BALEN VALENZUELA CARLOS EDUARDO;;
2815;2018-01;29559;ICYA-4302;1;4;PLANIF. CONSTR. LEAN CONSTRUCT;50;46;4;J;1530 - 1820;ML_512;92,2;ML;61.0;1621.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PONZ JOSE LUIS;;
2816;2018-01;29560;ICYA-4303;1;4;SEMIN.PROYECTOS DE INFRAESTRUC;50;40;10;I;1700 - 1950;SD_801;140;Sd;82.0;1110.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ARBOLEDA ARANGO CARLOS ALEJANDRO;;
2817;2018-01;29562;ICYA-4306;1;4;ASPECTOS LEGALES CONSTRUC.;50;43;7;J;0930 - 1220;LL_303;51,5;LL;50.0;5091.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ALFONSO CORREA CARLOS ALBERTO;;
2818;2018-01;29567;ICYA-4318;1;4;CONSTRUCCIÓN SOSTENIBLE: HERRA;50;35;15;J;0630 - 0920;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;OSPINA ALVARADO ANGELICA MARIA;;
2819;2018-01;29569;ICYA-4320;1;4;GERENCIA PROY. INMOBILIARIOS;57;54;3;M;0930 - 1220;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CONGOTE HERNANDEZ CAMILO ENRIQUE;;
2820;2018-01;30314;ICYA-4327;1;4;PLANIF. PROY. INFRAESTRUCTURA;41;35;6;M;1830 - 2120;ML_509;85,4;ML;61.0;1613.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUEVARA MALDONADO JOSE ALBERTO;;
2821;2018-01;24417;ICYA-4350;1;3;NIV. ING. GERENC. CONSTRUCCION;50;9;41;V;0630 - 0920;ML_511;85,4;ML;61.0;1615.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUTIERREZ BUCHELI LAURA ANDREA;;
2822;2018-01;29578;ICYA-4401;1;4;COMPRT DINAMICO DE ESTRUCTURAS;37;31;6;I;1100 - 1220;W_204;82,4;W;42.0;5007.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;L;1100 - 1220;LL_101;51,7;LL;47.0;5076.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;CORREAL DAZA JUAN FRANCISCO;;
2823;2018-01;29582;ICYA-4410;1;4;COMP Y DISEÑ ESTUCT DE ACERO;30;23;7;I;1400 - 1520;AU_404;43,7;Au;36.0;5634.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;LM;1400 - 1520;AU_404;43,7;Au;36.0;5634.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;REYES ORTIZ JUAN CARLOS;;
2824;2018-01;29586;ICYA-4414;1;4;MODELACION CON ELEMENTOS FINIT;10;4;6;I;1230 - 1350;AU_206;59,8;Au;44.0;5613.0;Movil;SI;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;L;1230 - 1350;AU_108;21,9;Au;17.0;5606.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;RAMIREZ RODRIGUEZ FERNANDO;;
2825;2018-01;29592;ICYA-4449;1;4;DISE - BASICO  DE ACERO;30;16;14;MJ;0630 - 0750;AU_205;59,8;Au;40.0;5612.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SILVA MONTAÑO JAVIER FERNANDO;;
2826;2018-01;29593;ICYA-4450;1;4;DISEÑO Y COMP. ESTRUC. CONC.;30;11;19;LI;1700 - 1850;AU_308;45,8;Au;30.0;5626.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;YAMIN LACOUTURE LUIS EDUARDO;;
2827;2018-01;29594;ICYA-4501;1;4;PROP. FISIC. SUEL. MECAN. ROCA;40;12;28;MJ;1400 - 1520;W_204;82,4;W;42.0;5007.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ESTRADA MEJIA NICOLAS;;
2828;2018-01;29595;ICYA-4502;1;4;TALLER HERRAM. EXPERIMENTALES;20;4;16;M;1530 - 1820;C_108;40,2;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CABRERA CABRERA MIGUEL ANGEL;;
2829;2018-01;29597;ICYA-4504;1;4;TALLER DE DISEÑO CIMENTACIONES;40;10;30;V;0630 - 0920;W_204;82,4;W;42.0;5007.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RODRIGUEZ GILBERTO;;
2830;2018-01;29602;ICYA-4602;1;4;DISEÑO AVANZADO DE PAV.;40;12;28;LI;1400 - 1520;AU_205;59,8;Au;40.0;5612.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CAICEDO BERNARDO;;
2831;2018-01;29604;ICYA-4606;1;4;EVAL.DIAG.CONS.PAVIMENTOS;40;7;33;J;1700 - 1950;Z_203;72;Z;40.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GONZALEZ HERRERA DAVID;;
2832;2018-01;29605;ICYA-4608;1;4;MATERIALES ASFÁLTICOS;40;16;24;L;0630 - 0920;W_506;82,8;W;40.0;5022.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CARO SPINEL SILVIA;;
2835;2018-01;29606;ICYA-4611;1;4;ANÁLISIS DE RIESGO;40;19;21;I;1400 - 1520;O_105;72,7;O;62.0;5254.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;L;1400 - 1520;W_506;82,8;W;40.0;5022.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;SANCHEZ SILVA EDGAR MAURICIO;;
2836;2018-01;29607;ICYA-4701;1;4;DISEÑO EN ING HIDRAULICA;40;34;6;LI;1530 - 1650;AU_204;37,9;Au;40.0;5611.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SALDARRIAGA VALDERRAMA JUAN GUILLERMO;;
2837;2018-01;29613;ICYA-4716;1;4;MODEL. FLUJO Y CONT. ACUI.;40;4;36;MJ;0630 - 0750;W_506;82,8;W;40.0;5022.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MOLANO CAJIGAS CARLOS EDU;;
2838;2018-01;29614;ICYA-4717;1;4;HIDRAULICA DE RIOS;40;12;28;MJ;1400 - 1520;LL_102;51,7;LL;47.0;5077.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DIAZ-GRANADOS ORTIZ MARIO ALFR;;
2839;2018-01;29615;ICYA-4801;1;4;ANAL. SISTEMAS DE TRANSPORTE;30;16;14;MJ;1700 - 1820;SD_205;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LLERAS ECHEVERRI GERMAN CAMILO;;
2840;2018-01;29620;ICYA-4809;1;4;TRANSPORTE INTERURBANO D CARGA;40;8;32;MJ;1400 - 1520;ML_120;17,6;ML;10.0;nan;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;OSPINA GERMAN ALFREDO;BAQUERO HAEBERLIN MANUEL;
2841;2018-01;29621;ICYA-4810;1;4;SEGURIDAD VIAL;40;14;26;V;0630 - 0920;Q_306;86,3;Q;48.0;1454.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;HIDALGO GUERRERO DARIO;BOCAREJO SUESCUN JUAN PABLO;
2855;2018-01;16750;IELE-1000;1;3;INTR. A LA INGENIERIA ELECTR.;30;32;-2;V;1400 - 1520;AU_403;46,6;Au;36.0;5633.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;I;1400 - 1520;O_402;57,8;O;50.0;5268.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;SEGURA QUIJANO FREDY ENRIQUE;;
2856;2018-01;30749;IELE-1000;2;3;INTR. A LA INGENIERIA ELECTR.;40;24;16;IV;1530 - 1650;LL_201;51,7;LL;32.0;5084.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;JIMENEZ LEUDO SANTIAGO;;
2857;2018-01;12592;IELE-1000C;1;0;COMPL INTR. INGENIERIA ELECTR;8;8;0;L;1100 - 1150;Q_307;88,1;Q;42.0;1455.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RINCON CONTRERAS EDUARDO ANDRES;;
2858;2018-01;13115;IELE-1000C;2;0;COMPL INTR. INGENIERIA ELECTR;8;7;1;L;1100 - 1150;ML_117;16,3;ML;10.0;nan;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RINCON CONTRERAS EDUARDO ANDRES;;
2859;2018-01;16757;IELE-1000C;3;0;COMPL INTR. INGENIERIA ELECTR;8;8;0;L;1100 - 1150;ML_116;16,3;ML;10.0;nan;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RINCON CONTRERAS EDUARDO ANDRES;;
2860;2018-01;25795;IELE-1000C;4;0;COMPL INTR. INGENIERIA ELECTR;8;6;2;L;1100 - 1150;TX_603;48,4;TX;30.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RINCON CONTRERAS EDUARDO ANDRES;;
2861;2018-01;25796;IELE-1000C;5;0;COMPL INTR. INGENIERIA ELECTR;8;9;-1;L;1400 - 1450;ML_116;16,3;ML;10.0;nan;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RINCON CONTRERAS EDUARDO ANDRES;CARDOZO ORTIZ TANIA MILENA;
2862;2018-01;25797;IELE-1000C;6;0;COMPL INTR. INGENIERIA ELECTR;8;6;2;L;1400 - 1450;ML_114;16,3;ML;10.0;nan;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RINCON CONTRERAS EDUARDO ANDRES;CARDOZO ORTIZ TANIA MILENA;
2863;2018-01;30750;IELE-1000C;7;0;COMPL INTR. INGENIERIA ELECTR;8;0;8;L;1200 - 1250;AU_202;37,9;Au;40.0;5609.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;
2864;2018-01;30751;IELE-1000C;8;0;COMPL INTR. INGENIERIA ELECTR;8;0;8;L;1200 - 1250;ML_119;16,3;ML;10.0;nan;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;
2865;2018-01;30752;IELE-1000C;9;0;COMPL INTR. INGENIERIA ELECTR;8;0;8;L;1200 - 1250;ML_117;16,3;ML;10.0;nan;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RINCON CONTRERAS EDUARDO ANDRES;;
2866;2018-01;30753;IELE-1000C;10;0;COMPL INTR. INGENIERIA ELECTR;8;8;0;L;1200 - 1250;ML_116;16,3;ML;10.0;nan;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RINCON CONTRERAS EDUARDO ANDRES;;
2873;2018-01;12095;IELE-1002;1;3;FUNDAMENTOS DE CIRCUITOS;30;35;-5;MJ;1530 - 1650;Q_307;88,1;Q;42.0;1455.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BOHORQUEZ REYES JUAN CARLOS;;
2874;2018-01;20906;IELE-1002;2;3;FUNDAMENTOS DE CIRCUITOS;32;29;3;IV;0630 - 0750;W_403;81,2;W;42.0;5015.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DUQUE ESCOBAR ISMAEL MAURICIO;;
2880;2018-01;13425;IELE-1006;1;4;FUNDAMENTOS DE CIRCUITOS;40;41;-1;V;0800 - 0920;AU_102;62,6;Au;48.0;5602.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;LI;0800 - 0920;ML_614;109,6;ML;44.0;1627.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;SALAZAR GOMEZ ANTONIO JOSE;;
2881;2018-01;25803;IELE-1006;2;4;FUNDAMENTOS DE CIRCUITOS;40;30;10;LIV;1400 - 1520;AU_202;37,9;Au;40.0;5609.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BRESSAN MICHAEL;;
2887;2018-01;13288;IELE-1010;1;3;CIRCUITOS E INSTRUMENTACION;62;50;12;J;0930 - 1050;SD_804;144,8;Sd;82.0;1118.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;M;0930 - 1050;SD_716;140,4;Sd;65.0;1105.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;SALAZAR GOMEZ ANTONIO JOSE;;
2892;2018-01;29629;IELE-1080;1;0;TUTORIA IEE;16;0;16;L;1700 - 1750;C_106;42,3;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUERRERO HURTADO MAURICIO;;
2893;2018-01;30756;IELE-1080;2;0;TUTORIA IEE;16;0;16;M;1700 - 1750;AU_309;42,5;Au;28.0;5627.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUERRERO HURTADO MAURICIO;;
2894;2018-01;30757;IELE-1080;3;0;TUTORIA IEE;16;0;16;I;1700 - 1750;G_102;48,6;G;20.0;5502.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUERRERO HURTADO MAURICIO;;
2895;2018-01;30758;IELE-1080;4;0;TUTORIA IEE;16;0;16;J;1700 - 1750;W_204;82,4;W;42.0;5007.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;
2896;2018-01;30760;IELE-1080;5;0;TUTORIA IEE;16;0;16;V;1700 - 1750;AU_108;21,9;Au;17.0;5606.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;
2897;2018-01;23169;IELE-1400;1;3;FUNDAMENTOS DE REDES;37;33;4;IV;1100 - 1220;R_109;37,5;R;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TORRES HURTADO JUAN GUILLERMO;;
